Sexo	Edad	Relación con la actividad económica	Periodo	Total
Ambos sexos	De 16 a 19 años	Parados	2023	126,8
Ambos sexos	De 16 a 19 años	Parados	2022	129,4
Ambos sexos	De 16 a 19 años	Parados	2021	130,7
Ambos sexos	De 16 a 19 años	Parados	2020	126,5
Ambos sexos	De 16 a 19 años	Parados	2019	124,2
Ambos sexos	De 16 a 19 años	Parados	2018	132,6
Ambos sexos	De 16 a 19 años	Parados	2017	141,5
Ambos sexos	De 16 a 19 años	Parados	2016	143,8
Ambos sexos	De 16 a 19 años	Parados	2015	172,2
Ambos sexos	De 16 a 19 años	Parados	2014	173,1
Ambos sexos	De 16 a 19 años	Parados	2013	211,4
Ambos sexos	De 16 a 19 años	Parados	2012	222
Ambos sexos	De 16 a 19 años	Parados	2011	220,8
Ambos sexos	De 16 a 19 años	Parados	2010	239,5
Ambos sexos	De 16 a 19 años	Parados	2009	252,2
Ambos sexos	De 16 a 19 años	Parados	2008	213,9
Ambos sexos	De 16 a 19 años	Parados	2007	160,1
Ambos sexos	De 16 a 19 años	Parados	2006	158,8
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2024	80,7
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2023	79,5
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2022	84,1
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2021	87,5
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2020	72,7
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2019	80,8
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2018	85,8
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2017	96,5
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2016	96,8
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2015	127,9
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2014	128,4
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2013	148,3
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2012	148,5
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2011	140
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2010	135,1
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2009	119,9
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2008	95,2
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2007	72,8
Ambos sexos	De 16 a 19 años	Parados que buscan primer empleo	2006	73,2
Ambos sexos	De 16 a 19 años	Inactivos	2024	1.794,6
Ambos sexos	De 16 a 19 años	Inactivos	2023	1.737,8
Ambos sexos	De 16 a 19 años	Inactivos	2022	1.696,1
Ambos sexos	De 16 a 19 años	Inactivos	2021	1.663
Ambos sexos	De 16 a 19 años	Inactivos	2020	1.687,2
Ambos sexos	De 16 a 19 años	Inactivos	2019	1.600,8
Ambos sexos	De 16 a 19 años	Inactivos	2018	1.555,3
Ambos sexos	De 16 a 19 años	Inactivos	2017	1.519,9
Ambos sexos	De 16 a 19 años	Inactivos	2016	1.505,6
Ambos sexos	De 16 a 19 años	Inactivos	2015	1.464,3
Ambos sexos	De 16 a 19 años	Inactivos	2014	1.457,3
Ambos sexos	De 16 a 19 años	Inactivos	2013	1.435,9
Ambos sexos	De 16 a 19 años	Inactivos	2012	1.448,5
Ambos sexos	De 16 a 19 años	Inactivos	2011	1.442,7
Ambos sexos	De 16 a 19 años	Inactivos	2010	1.427,4
Ambos sexos	De 16 a 19 años	Inactivos	2009	1.392
Ambos sexos	De 16 a 19 años	Inactivos	2008	1.321,7
Ambos sexos	De 16 a 19 años	Inactivos	2007	1.308,1
Ambos sexos	De 16 a 19 años	Inactivos	2006	1.316
Ambos sexos	De 20 a 24 años	Total	2024	2.624,8
Ambos sexos	De 20 a 24 años	Total	2023	2.538,2
Ambos sexos	De 20 a 24 años	Total	2022	2.440,2
Ambos sexos	De 20 a 24 años	Total	2021	2.372,9
Ambos sexos	De 20 a 24 años	Total	2020	2.358,9
Ambos sexos	De 20 a 24 años	Total	2019	2.301,6
Ambos sexos	De 20 a 24 años	Total	2018	2.256
Ambos sexos	De 20 a 24 años	Total	2017	2.238,3
Ambos sexos	De 20 a 24 años	Total	2016	2.251,2
Ambos sexos	De 20 a 24 años	Total	2015	2.287,3
Ambos sexos	De 20 a 24 años	Total	2014	2.330
Ambos sexos	De 20 a 24 años	Total	2013	2.390,3
Ambos sexos	De 20 a 24 años	Total	2012	2.456,6
Ambos sexos	De 20 a 24 años	Total	2011	2.519,2
Ambos sexos	De 20 a 24 años	Total	2010	2.594,9
Ambos sexos	De 20 a 24 años	Total	2009	2.687,7
Ambos sexos	De 20 a 24 años	Total	2008	2.771,6
Ambos sexos	De 20 a 24 años	Total	2007	2.817
Ambos sexos	De 20 a 24 años	Total	2006	2.856,6
Ambos sexos	De 20 a 24 años	Activos	2024	1.458,7
Ambos sexos	De 20 a 24 años	Activos	2023	1.402,5
Ambos sexos	De 20 a 24 años	Activos	2022	1.323,6
Ambos sexos	De 20 a 24 años	Activos	2021	1.256,4
Ambos sexos	De 20 a 24 años	Activos	2020	1.198,8
Ambos sexos	De 20 a 24 años	Activos	2019	1.264,8
Ambos sexos	De 20 a 24 años	Activos	2018	1.240,1
Ambos sexos	De 20 a 24 años	Activos	2017	1.239,9
Ambos sexos	De 20 a 24 años	Activos	2016	1.236,8
Ambos sexos	De 20 a 24 años	Activos	2015	1.297,5
Ambos sexos	De 20 a 24 años	Activos	2014	1.346,9
Ambos sexos	De 20 a 24 años	Activos	2013	1.428,6
Ambos sexos	De 20 a 24 años	Activos	2012	1.502,9
Ambos sexos	De 20 a 24 años	Activos	2011	1.591
Ambos sexos	De 20 a 24 años	Activos	2010	1.677,6
Ambos sexos	De 20 a 24 años	Activos	2009	1.787,2
Ambos sexos	De 20 a 24 años	Activos	2008	1.888,3
Ambos sexos	De 20 a 24 años	Activos	2007	1.901
Ambos sexos	De 20 a 24 años	Activos	2006	1.941,3
Ambos sexos	De 20 a 24 años	Ocupados	2024	1.117,9
Ambos sexos	De 20 a 24 años	Ocupados	2023	1.042,9
Ambos sexos	De 20 a 24 años	Ocupados	2022	975
Ambos sexos	De 20 a 24 años	Ocupados	2021	857,3
Ambos sexos	De 20 a 24 años	Ocupados	2020	777,5
Ambos sexos	De 20 a 24 años	Ocupados	2019	888,2
Ambos sexos	De 20 a 24 años	Ocupados	2018	855,3
Ambos sexos	De 20 a 24 años	Ocupados	2017	803,2
Ambos sexos	De 20 a 24 años	Ocupados	2016	724,5
Ambos sexos	De 20 a 24 años	Ocupados	2015	718,9
Ambos sexos	De 20 a 24 años	Ocupados	2014	669,2
Ambos sexos	De 20 a 24 años	Ocupados	2013	688,9
Ambos sexos	De 20 a 24 años	Ocupados	2012	768,8
Ambos sexos	De 20 a 24 años	Ocupados	2011	917,6
Ambos sexos	De 20 a 24 años	Ocupados	2010	1.059
Ambos sexos	De 20 a 24 años	Ocupados	2009	1.192,8
Ambos sexos	De 20 a 24 años	Ocupados	2008	1.507,7
Ambos sexos	De 20 a 24 años	Ocupados	2007	1.616,4
Ambos sexos	De 20 a 24 años	Ocupados	2006	1.655,2
Ambos sexos	De 20 a 24 años	Parados	2024	340,8
Ambos sexos	De 20 a 24 años	Parados	2023	359,6
Ambos sexos	De 20 a 24 años	Parados	2022	348,6
Ambos sexos	De 20 a 24 años	Parados	2021	399,1
Ambos sexos	De 20 a 24 años	Parados	2020	421,3
Ambos sexos	De 20 a 24 años	Parados	2019	376,6
Ambos sexos	De 20 a 24 años	Parados	2018	384,8
Ambos sexos	De 20 a 24 años	Parados	2017	436,7
Ambos sexos	De 20 a 24 años	Parados	2016	512,3
Ambos sexos	De 20 a 24 años	Parados	2015	578,6
Ambos sexos	De 20 a 24 años	Parados	2014	677,7
Ambos sexos	De 20 a 24 años	Parados	2013	739,7
Ambos sexos	De 20 a 24 años	Parados	2012	734,2
Ambos sexos	De 20 a 24 años	Parados	2011	673,4
Ambos sexos	De 20 a 24 años	Parados	2010	618,5
Ambos sexos	De 20 a 24 años	Parados	2009	594,4
Ambos sexos	De 20 a 24 años	Parados	2008	380,6
Ambos sexos	De 20 a 24 años	Parados	2007	284,6
Ambos sexos	De 20 a 24 años	Parados	2006	286,1
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2024	101,4
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2023	109,6
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2022	124,8
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2021	121,1
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2020	106,8
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2019	119,2
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2018	130,6
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2017	168,2
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2016	190,5
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2015	223,2
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2014	246,3
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2013	225,1
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2012	187,5
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2011	146
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2010	102,9
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2009	84,8
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2008	58,5
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2007	55,9
Ambos sexos	De 20 a 24 años	Parados que buscan primer empleo	2006	58,2
Ambos sexos	De 20 a 24 años	Inactivos	2024	1.166,1
Ambos sexos	De 20 a 24 años	Inactivos	2023	1.135,7
Ambos sexos	De 20 a 24 años	Inactivos	2022	1.116,6
Ambos sexos	De 20 a 24 años	Inactivos	2021	1.116,5
Ambos sexos	De 20 a 24 años	Inactivos	2020	1.160,1
Ambos sexos	De 20 a 24 años	Inactivos	2019	1.036,8
Ambos sexos	De 20 a 24 años	Inactivos	2018	1.015,9
Ambos sexos	De 20 a 24 años	Inactivos	2017	998,4
Ambos sexos	De 20 a 24 años	Inactivos	2016	1.014,4
Ambos sexos	De 20 a 24 años	Inactivos	2015	989,9
Ambos sexos	De 20 a 24 años	Inactivos	2014	983
Ambos sexos	De 20 a 24 años	Inactivos	2013	961,7
Ambos sexos	De 20 a 24 años	Inactivos	2012	953,7
Ambos sexos	De 20 a 24 años	Inactivos	2011	928,2
Ambos sexos	De 20 a 24 años	Inactivos	2010	917,3
Ambos sexos	De 20 a 24 años	Inactivos	2009	900,5
Ambos sexos	De 20 a 24 años	Inactivos	2008	883,3
Ambos sexos	De 20 a 24 años	Inactivos	2007	916
Ambos sexos	De 20 a 24 años	Inactivos	2006	915,3
Ambos sexos	De 25 a 29 años	Total	2024	2.638,4
Ambos sexos	De 25 a 29 años	Total	2023	2.585,6
Ambos sexos	De 25 a 29 años	Total	2022	2.527,8
Ambos sexos	De 25 a 29 años	Total	2021	2.508,1
Ambos sexos	De 25 a 29 años	Total	2020	2.521,6
Ambos sexos	De 25 a 29 años	Total	2019	2.515
Ambos sexos	De 25 a 29 años	Total	2018	2.497
Ambos sexos	De 25 a 29 años	Total	2017	2.486,7
Ambos sexos	De 25 a 29 años	Total	2016	2.515,9
Ambos sexos	De 25 a 29 años	Total	2015	2.588,5
Ambos sexos	De 25 a 29 años	Total	2014	2.673,1
Ambos sexos	De 25 a 29 años	Total	2013	2.803,2
Ambos sexos	De 25 a 29 años	Total	2012	2.964,3
Ambos sexos	De 25 a 29 años	Total	2011	3.127,1
Ambos sexos	De 25 a 29 años	Total	2010	3.292,9
Ambos sexos	De 25 a 29 años	Total	2009	3.465,2
Ambos sexos	De 25 a 29 años	Total	2008	3.609
Ambos sexos	De 25 a 29 años	Total	2007	3.685,1
Ambos sexos	De 25 a 29 años	Total	2006	3.714,4
Ambos sexos	De 25 a 29 años	Activos	2024	2.210
Ambos sexos	De 25 a 29 años	Activos	2023	2.186
Ambos sexos	De 25 a 29 años	Activos	2022	2.124,3
Ambos sexos	De 25 a 29 años	Activos	2021	2.116,6
Ambos sexos	De 25 a 29 años	Activos	2020	2.068,4
Ambos sexos	De 25 a 29 años	Activos	2019	2.100,4
Ambos sexos	De 25 a 29 años	Activos	2018	2.100,7
Ambos sexos	De 25 a 29 años	Activos	2017	2.110,9
Ambos sexos	De 25 a 29 años	Activos	2016	2.140,5
Ambos sexos	De 25 a 29 años	Activos	2015	2.206,8
Ambos sexos	De 25 a 29 años	Activos	2014	2.320,6
Ambos sexos	De 25 a 29 años	Activos	2013	2.439,6
Ambos sexos	De 25 a 29 años	Activos	2012	2.585,4
Ambos sexos	De 25 a 29 años	Activos	2011	2.712,2
Ambos sexos	De 25 a 29 años	Activos	2010	2.869,6
Ambos sexos	De 25 a 29 años	Activos	2009	3.009,4
Ambos sexos	De 25 a 29 años	Activos	2008	3.132,6
Ambos sexos	De 25 a 29 años	Activos	2007	3.180
Ambos sexos	De 25 a 29 años	Activos	2006	3.201,1
Ambos sexos	De 25 a 29 años	Ocupados	2024	1.875,1
Ambos sexos	De 25 a 29 años	Ocupados	2023	1.842,9
Ambos sexos	De 25 a 29 años	Ocupados	2022	1.768,6
Ambos sexos	De 25 a 29 años	Ocupados	2021	1.657,9
Ambos sexos	De 25 a 29 años	Ocupados	2020	1.594,5
Ambos sexos	De 25 a 29 años	Ocupados	2019	1.701,7
Ambos sexos	De 25 a 29 años	Ocupados	2018	1.673
Ambos sexos	De 25 a 29 años	Ocupados	2017	1.626,1
Ambos sexos	De 25 a 29 años	Ocupados	2016	1.592,5
Ambos sexos	De 25 a 29 años	Ocupados	2015	1.577,6
Ambos sexos	De 25 a 29 años	Ocupados	2014	1.616,8
Ambos sexos	De 25 a 29 años	Ocupados	2013	1.628
Ambos sexos	De 25 a 29 años	Ocupados	2012	1.771,2
Ambos sexos	De 25 a 29 años	Ocupados	2011	1.998,7
Ambos sexos	De 25 a 29 años	Ocupados	2010	2.161
Ambos sexos	De 25 a 29 años	Ocupados	2009	2.356,6
Ambos sexos	De 25 a 29 años	Ocupados	2008	2.714,9
Ambos sexos	De 25 a 29 años	Ocupados	2007	2.895,1
Ambos sexos	De 25 a 29 años	Ocupados	2006	2.878,8
Ambos sexos	De 25 a 29 años	Parados	2024	335
Ambos sexos	De 25 a 29 años	Parados	2023	343,1
Ambos sexos	De 25 a 29 años	Parados	2022	355,6
Ambos sexos	De 25 a 29 años	Parados	2021	458,6
Ambos sexos	De 25 a 29 años	Parados	2020	473,8
Ambos sexos	De 25 a 29 años	Parados	2019	398,7
Ambos sexos	De 25 a 29 años	Parados	2018	427,7
Ambos sexos	De 25 a 29 años	Parados	2017	484,9
Ambos sexos	De 25 a 29 años	Parados	2016	547,9
Ambos sexos	De 25 a 29 años	Parados	2015	629,2
Ambos sexos	De 25 a 29 años	Parados	2014	703,8
Ambos sexos	De 25 a 29 años	Parados	2013	811,6
Ambos sexos	De 25 a 29 años	Parados	2012	814,2
Ambos sexos	De 25 a 29 años	Parados	2011	713,5
Ambos sexos	De 25 a 29 años	Parados	2010	708,6
Ambos sexos	De 25 a 29 años	Parados	2009	652,8
Ambos sexos	De 25 a 29 años	Parados	2008	417,6
Ambos sexos	De 25 a 29 años	Parados	2007	284,9
Ambos sexos	De 25 a 29 años	Parados	2006	322,3
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2024	41,4
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2023	50,5
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2022	57,5
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2021	67,2
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2020	56,5
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2019	60,6
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2018	66,2
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2017	74,2
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2016	78,9
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2015	85,9
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2014	77,1
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2013	75,8
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2012	69
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2011	59,6
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2010	50,4
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2009	37,3
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2008	34,5
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2007	27,5
Ambos sexos	De 25 a 29 años	Parados que buscan primer empleo	2006	35,8
Ambos sexos	De 25 a 29 años	Inactivos	2024	428,3
Ambos sexos	De 25 a 29 años	Inactivos	2023	399,6
Ambos sexos	De 25 a 29 años	Inactivos	2022	403,6
Ambos sexos	De 25 a 29 años	Inactivos	2021	391,6
Ambos sexos	De 25 a 29 años	Inactivos	2020	453,2
Ambos sexos	De 25 a 29 años	Inactivos	2019	414,6
Ambos sexos	De 25 a 29 años	Inactivos	2018	396,3
Ambos sexos	De 25 a 29 años	Inactivos	2017	375,7
Ambos sexos	De 25 a 29 años	Inactivos	2016	375,5
Ambos sexos	De 25 a 29 años	Inactivos	2015	381,7
Ambos sexos	De 25 a 29 años	Inactivos	2014	352,4
Ambos sexos	De 25 a 29 años	Inactivos	2013	363,5
Ambos sexos	De 25 a 29 años	Inactivos	2012	378,9
Ambos sexos	De 25 a 29 años	Inactivos	2011	414,9
Ambos sexos	De 25 a 29 años	Inactivos	2010	423,3
Ambos sexos	De 25 a 29 años	Inactivos	2009	455,8
Ambos sexos	De 25 a 29 años	Inactivos	2008	476,5
Ambos sexos	De 25 a 29 años	Inactivos	2007	505,2
Ambos sexos	De 25 a 29 años	Inactivos	2006	513,3
Ambos sexos	De 30 a 34 años	Total	2024	2.835,3
Ambos sexos	De 30 a 34 años	Total	2023	2.803,7
Ambos sexos	De 30 a 34 años	Total	2022	2.755,5
Ambos sexos	De 30 a 34 años	Total	2021	2.741
Ambos sexos	De 30 a 34 años	Total	2020	2.748,8
Ambos sexos	De 30 a 34 años	Total	2019	2.775,3
Ambos sexos	De 30 a 34 años	Total	2018	2.810,5
